n,id,instrumento,abreviatura,esfera,dominio,tipo,procedencia,items,opciones,puntaje_maximo,umbrales_derivados,bandas,referencias_en_la_herramienta,titular_de_derechos_propio
1,charlson,Índice de Comorbilidad de Charlson,Charlson,Clínica,Comorbilidad,Sumativo,Manual de referencia (2024),17,40,38,2,0 a 1: Ausencia de comorbilidad | 2: Comorbilidad baja | 3 a 38: Comorbilidad alta,"Charlson M, Szatrowski TP, Peterson J, Gold J. Validation of a combined comorbidity index. J Clin Epidemiol. 1994;47(11):1245-51.",
2,charlsonco,Índice de Charlson validado en población hospitalizada colombiana,Charlson · Colombia,Clínica,Comorbilidad,Sumativo,Manual de referencia (2024),14,28,29,2,0 a 1: Ausencia de comorbilidad | 2: Comorbilidad baja | 3 a 29: Comorbilidad alta,"Oliveros H, Buitrago G. Validation and adaptation of the Charlson Comorbidity Index using administrative data from the Colombian health system: retrospective cohort study. BMJ Open. 2022;12:e054058.",
3,mna,Mini Nutritional Assessment – Short Form,MNA-SF,Clínica,Nutrición,Sumativo,Manual de referencia (2024),6,21,14,2,0 a 7: Malnutrición | 8 a 11: Riesgo de malnutrición | 12 a 14: Estado nutricional satisfactorio,"Rubenstein LZ, et al. J Gerontol. 2001;56A:M366-77. Kaiser MJ, et al. J Nutr Health Aging. 2009;13:782-8. Deossa-Restrepo GC, et al. Rev Univ Salud. 2016;18(3):494-504.",Nestlé Nutrition Institute / Nestec
4,eat10,Eating Assessment Tool,EAT-10,Clínica,Deglución,Sumativo,Manual de referencia (2024),10,50,40,1,0 a 2: Sin disfagia | 3 a 40: Sugiere disfagia,"Burgos R, Sarto B, Segurola H, Romagosa A, Puiggrós C, Vásquez C, et al. Traducción y validación de la versión en español de la escala EAT-10 para el despistaje de la disfagia. Nutr Hosp. 2012;27(6):2048-54.",Nestlé Nutrition Institute / Nestec
5,downton,Escala de Riesgo de Caídas (J. H. Downton modificada),Downton modificada,Clínica,Caídas,Sumativo,Manual de referencia (2024),8,19,10,2,0: Sin criterios de riesgo | 1 a 3: Riesgo bajo de caídas | 4 a 10: Riesgo alto de caídas,"Hospital Universitario San Ignacio. Guía de enfermería para la prevención y manejo de caídas: gestión integral asistencial. Bogotá; 2017.",
6,fesi,Versión acortada de la Escala de Eficacia en Caídas,Short FES-I,Clínica,Caídas,Sumativo,Manual de referencia (2024),7,28,28,1,0 a 10: Bajo temor a caer | 11 a 28: Alto temor a caer,"Araya A, Valenzuela E, Padilla O, Iriarte E, Caro C. Preocupación a caer: validación de un instrumento de medición de personas mayores chilenas que viven en comunidad. Rev Esp Geriatr Gerontol. 2017;52(4):188-92.",
7,norton,Escala de Norton para riesgo de lesiones por presión,Norton,Clínica,Piel,Sumativo,Manual de referencia (2024),5,20,20,1,0 a 14: Alto riesgo de lesiones por presión | 15 a 20: Bajo riesgo de lesiones por presión,"Romanos-Calvo B, Casanova-Cartie N. La escala de Norton modificada por el Insalud y sus diferencias en la práctica clínica. Gerokomos. 2017;28(4):194-9.",
8,painad,Pain Assessment in Advanced Dementia,PAINAD,Clínica,Dolor,Sumativo,Complementario (no procede del manual),5,15,10,3,0: Sin indicadores de dolor | 1 a 3: Dolor leve | 4 a 6: Dolor moderado | 7 a 10: Dolor intenso,"Warden V, Hurley AC, Volicer L. Development and psychometric evaluation of the Pain Assessment in Advanced Dementia (PAINAD) scale. J Am Med Dir Assoc. 2003;4(1):9-15. Versión española validada: García-Soler Á, Sánchez-Iglesias I, Buiza C, Alaba J, Navarro AB, Arriola E, et al. Adaptación y validación de la versión española de la escala de evaluación de dolor en personas con demencia avanzada: PAINAD-Sp. Rev Esp Geriatr Gerontol. 2014;49(1):10-4. Escala complementaria: no forma parte del manual de referencia.",
9,g8,Geriatrics 8 Screening Tool,G8,Clínica,Oncogeriatría,Sumativo,Manual de referencia (2024),8,26,17,1,0 a 14: Realizar valoración geriátrica integral | 15 a 17: Valoración a criterio de oncología,"Bellera CA, Rainfray M, Mathoulin-Pelissier S, Mertens C, Delva F, Fonck M, et al. Screening older cancer patients: first evaluation of the G-8 geriatric screening tool. Ann Oncol. 2012;23(8):2166-72.",
10,ves13,Vulnerable Elders Survey,VES-13,Clínica,Oncogeriatría,Sumativo,Manual de referencia (2024),4,16,15,1,0 a 2: No vulnerable en este tamizaje | 3 a 15: Adulto mayor vulnerable,"Saliba D, Elliott M, Rubenstein LZ, Solomon DH, Young RT, Kamberg CJ, et al. The Vulnerable Elders Survey: a tool for identifying vulnerable older people in the community. J Am Geriatr Soc. 2001;49(12):1691-9.",
11,necpal,"Instrumento de identificación de necesidades paliativas, versión 3.1",NECPAL CCOMS-ICO,Paliativos y pronóstico,Necesidades paliativas,Algorítmico,Complementario (no procede del manual),14,28,,,,"Gómez-Batiste X, Martínez-Muñoz M, Blay C, Amblàs J, Vila L, Costa X. Identificación de personas con enfermedades crónicas avanzadas y necesidad de atención paliativa en servicios sanitarios y sociales: elaboración del instrumento NECPAL CCOMS-ICO. Med Clín. 2013;140(6):241-5. Umbrales operativos según el Instrumento NECPAL CCOMS-ICO© versión 3.1, 2017. Los criterios específicos por patología del bloque 4 se presentan aquí operativizados con los criterios de enfermedad avanzada de la National Hospice and Palliative Care Organization. Medical guidelines for determining prognosis in selected non-cancer diseases. 2.ª ed. Arlington; 1996.",Institut Català d'Oncologia / Càtedra de Cures Pal·liatives
12,pps,Escala Funcional Paliativa (Palliative Performance Scale),PPS,Paliativos y pronóstico,Necesidades paliativas,Algorítmico,Manual de referencia (2024),1,11,,,,"Vila-Arias J, Pereira S, López E, Guzmán J, Sanmartín J. Utilidad del Palliative Performance Scale v2 para la estimación de supervivencia en enfermos con cáncer avanzado. Med Paliat. 2012;19(4):133-8.",
13,ppi,Índice Pronóstico Paliativo,PPI,Paliativos y pronóstico,Pronóstico en enfermedad avanzada,Sumativo,Manual de referencia (2024),5,12,15.5,2,"0 a 4: No alcanza los umbrales pronósticos | 4,5 a 6: Supervivencia estimada menor de 6 semanas | 6,5 a 15,5: Supervivencia estimada menor de 3 semanas","Morita T, Tsunoda J, Inoue S, Chihara S. The Palliative Prognostic Index: a scoring system for survival prediction of terminally ill cancer patients. Support Care Cancer. 1999;7:128-33.",
14,pap,Palliative Prognostic Score,PaP Score,Paliativos y pronóstico,Pronóstico en enfermedad avanzada,Sumativo,Complementario (no procede del manual),6,19,17.5,2,"0 a 5,5: Grupo A | 6 a 11: Grupo B | 11,5 a 17,5: Grupo C","Pirovano M, Maltoni M, Nanni O, Marinari M, Indelli M, Zaninetta G, et al. A new Palliative Prognostic Score: a first step for the staging of terminally ill cancer patients. J Pain Symptom Manage. 1999;17(4):231-9. Validación independiente: Glare P, Virik K. J Pain Symptom Manage. 2001;22(5):891-8. Versión con delirium (D-PaP): Maltoni M, et al. Oncologist. 2012;17(3):446-54. Escala complementaria: no forma parte del manual de referencia.",
